ID,Grupo,Estado o país,Receta,Tiempo,Porciones,Dificultad,Ingredientes principales,Foto
"R051","México","Sonora","Coyotas de piloncillo","35 min","4 porciones","Fácil","harina | huevo | leche | mantequilla | azúcar | vainilla | canela | fruta de temporada","https://images.pexels.com/photos/1279330/pexels-photo-1279330.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R052","México","Sonora","Carne con chile colorado","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/376464/pexels-photo-376464.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R053","México","Tabasco","Pejelagarto estilo casero","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1092730/pexels-photo-1092730.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R054","México","Tabasco","Plátanos rellenos de queso","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/70497/pexels-photo-70497.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R055","México","Tamaulipas","Tampiqueña casera","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/958545/pexels-photo-958545.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R056","México","Tamaulipas","Tacos piratas norteños","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1437267/pexels-photo-1437267.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R057","México","Tlaxcala","Tacos de canasta","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/262978/pexels-photo-262978.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R058","México","Tlaxcala","Sopa tlaxcalteca","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1640774/pexels-photo-1640774.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R059","México","Veracruz","Pescado a la veracruzana","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/2097090/pexels-photo-2097090.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R060","México","Veracruz","Picadas veracruzanas","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/4551971/pexels-photo-4551971.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R061","México","Yucatán","Cochinita pibil","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1640777/pexels-photo-1640777.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R062","México","Yucatán","Sopa de lima sencilla","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/461198/pexels-photo-461198.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R063","México","Zacatecas","Asado de boda fácil","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/1279330/pexels-photo-1279330.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R064","México","Zacatecas","Gorditas zacatecanas","45 min","4 porciones","Fácil","tortillas | jitomate | cebolla | ajo | limón | cilantro | chile serrano | queso fresco | frijoles | pollo o cerdo","https://images.pexels.com/photos/376464/pexels-photo-376464.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R065","Internacional","Italia","Risotto de hongos","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1092730/pexels-photo-1092730.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R066","Internacional","Italia","Pasta pomodoro cremosa","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/70497/pexels-photo-70497.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R067","Internacional","Japón","Ramen casero","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/958545/pexels-photo-958545.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R068","Internacional","Japón","Yakimeshi con verduras","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1437267/pexels-photo-1437267.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R069","Internacional","España","Tortilla española","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/262978/pexels-photo-262978.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R070","Internacional","España","Paella casera de pollo","45 min","4 porciones","Intermedia","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1640774/pexels-photo-1640774.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R071","Internacional","Francia","Crepas dulces","35 min","4 porciones","Fácil","harina | huevo | leche | mantequilla | azúcar | vainilla | canela | fruta de temporada","https://images.pexels.com/photos/2097090/pexels-photo-2097090.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R072","Internacional","Francia","Pollo a la mostaza","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/4551971/pexels-photo-4551971.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R073","Internacional","Estados Unidos","Mac and cheese","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1640777/pexels-photo-1640777.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R074","Internacional","Estados Unidos","Hot cakes esponjosos","35 min","4 porciones","Fácil","harina | huevo | leche | mantequilla | azúcar | vainilla | canela | fruta de temporada","https://images.pexels.com/photos/461198/pexels-photo-461198.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R075","Internacional","Perú","Lomo saltado","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1279330/pexels-photo-1279330.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R076","Internacional","Perú","Arroz chaufa","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/376464/pexels-photo-376464.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R077","Internacional","Argentina","Milanesa napolitana","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1092730/pexels-photo-1092730.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R078","Internacional","Argentina","Choripán con chimichurri","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/70497/pexels-photo-70497.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R079","Internacional","Colombia","Arepas rellenas","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/958545/pexels-photo-958545.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R080","Internacional","Colombia","Arroz con pollo colombiano","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1437267/pexels-photo-1437267.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R081","Internacional","Brasil","Feijoada sencilla","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/262978/pexels-photo-262978.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R082","Internacional","Brasil","Brigadeiros de chocolate","35 min","4 porciones","Fácil","harina | huevo | leche | mantequilla | azúcar | vainilla | canela | fruta de temporada","https://images.pexels.com/photos/1640774/pexels-photo-1640774.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R083","Internacional","India","Pollo al curry suave","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/2097090/pexels-photo-2097090.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R084","Internacional","India","Arroz especiado","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/4551971/pexels-photo-4551971.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R085","Internacional","China","Pollo agridulce","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1640777/pexels-photo-1640777.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R086","Internacional","China","Fideos salteados","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/461198/pexels-photo-461198.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R087","Internacional","Corea","Bibimbap sencillo","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1279330/pexels-photo-1279330.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R088","Internacional","Corea","Pollo coreano dulce-picante","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/376464/pexels-photo-376464.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R089","Internacional","Tailandia","Pad thai fácil","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1092730/pexels-photo-1092730.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R090","Internacional","Tailandia","Arroz con mango","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/70497/pexels-photo-70497.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R091","Internacional","Marruecos","Pollo con especias y limón","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/958545/pexels-photo-958545.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R092","Internacional","Marruecos","Cuscús con verduras","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1437267/pexels-photo-1437267.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R093","Internacional","Grecia","Gyros de pollo","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/262978/pexels-photo-262978.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R094","Internacional","Grecia","Ensalada griega completa","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1640774/pexels-photo-1640774.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R095","Internacional","Turquía","Kebab casero","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/2097090/pexels-photo-2097090.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R096","Internacional","Turquía","Arroz con fideos","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/4551971/pexels-photo-4551971.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R097","Internacional","Alemania","Schnitzel de pollo","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1640777/pexels-photo-1640777.jpeg?auto=compress&cs=tinysrgb&w=1200"
